ID,Bauteil,Anzahl,Dateipfad,Bemerkung
RL-P-001,Kamera Halterung,1,/20_Robots/RL_Robot_introductions-to-robotics/10_Product/Parts/RL-P-001_KameraHalterung.ipt,
RL-P-002,April Cube,1,/20_Robots/RL_Robot_introductions-to-robotics/10_Product/Parts/RL-P-002_April_Cube.ipt,
RL-P-003,Robot Hat,1,/20_Robots/RL_Robot_introductions-to-robotics/10_Product/Parts/RL-P-003_Robot_Hat.ipt,
RL-P-004,Sockel,1,/20_Robots/RL_Robot_introductions-to-robotics/10_Product/Parts/RL-P-004_Sockel.ipt,
RL-P-005,Baseplate,1,/20_Robots/RL_Robot_introductions-to-robotics/10_Product/Parts/RL-P-005_Baseplate.ipt,
RT3-P-001,tendon hoder,1,/20_Robots/RT3_Robot_tapered-3strings/10_Product/Parts/RT3-P-001_tendon_holder_top.ipt,
RT3-P-002,mounting point,1,/20_Robots/RT3_Robot_tapered-3strings/10_Product/Parts/RT3-P-002_mounting_point.ipt,wird ins Silikon eingegossen
CC-P-002,Roboter Fuß,1,/10_Common_Candidates/Parts/CC-P-002_robot_base_oben.ipt,
CC-P-003,Roboter Fuß,1,/10_Common_Candidates/Parts/CC-P-003_robot_base_unten.ipt,
CC-P-005,Spule,3,/10_Common_Candidates/Parts/CC-P-005_tendon_reel_nut_holder.ipt,
CC-P-006,Spule,3,/10_Common_Candidates/Parts/CC-P-006_tendon_reel_bottom.ipt,
CC-P-007,Spule,3,/10_Common_Candidates/Parts/CC-P-007_tendon_reel_top_3mm.ipt,
,,,,
This robot uses the silicone body of the RT3 – tapered 3 strings robot,,,,
