ID,Bauteil,Anzahl,Dateipfad,Bemerkung
RR-P-001,tendon holder top,1,20_Robots/RR_Robot_retractable/10_Product/Parts/RR-P-001_tendon_holder_top.ipt,
RR-P-002,tendon holder mid,1,20_Robots/RR_Robot_retractable/10_Product/Parts/RR-P-002_tendon_holder_middleA.ipt,
RR-P-003,tendon holder mid ,1,20_Robots/RR_Robot_retractable/10_Product/Parts/RR-P-003_tendon_holder_middleB.ipt,
RR-P-004,mounting_point,1,20_Robots/RR_Robot_retractable/10_Product/Parts/RR-P-004_mounting_point_A.ipt,
RR-P-005,mounting_point,1,20_Robots/RR_Robot_retractable/10_Product/Parts/RR-P-005_mounting_point_B.ipt,
CC-P-001,Baseplate,1,/10_Common_Candidates/Parts/CC-P-001_Baseplate.ipt,
CC-P-002,Roboter Fuß,1,/10_Common_Candidates/Parts/CC-P-002_robot_base_oben.ipt,
CC-P-003,Roboter Fuß,1,/10_Common_Candidates/Parts/CC-P-003_robot_base_unten.ipt,
CC-P-005,Spule,6,/10_Common_Candidates/Parts/CC-P-005_tendon_reel_nut_holder.ipt,
CC-P-006,Spule,6,/10_Common_Candidates/Parts/CC-P-006_tendon_reel_bottom.ipt,
CC-P-007,Spule,6,/10_Common_Candidates/Parts/CC-P-007_tendon_reel_top_3mm.ipt,
